Descripcion,Marca,Grupo
CREMA JABONOSA 100ML EXEL,,PRODUCTO
CON VITAMINA E HIDRATANTE Y ANTIOXIDANTE 300ML NATURAL HONEY,,PRODUCTO
ACEITE CORPORAL DE COCO 300ML NATURAL HONEY,,PRODUCTO
EMULSION D`EYERLY L´OREAL,,PRODUCTO
NUTRICION CAPILAR DAYERLY L´OREAL,,PRODUCTO
ACONDICIONADOR TIGI GI DEFCURLS 200 ML,TIGI,PRODUCTO
REVLON - LAPIZ LABIAL HUMECTANTE 055,REVLON,PRODUCTO
L´OREAL - LOREAL VITAMINO COLOR 150 ML,L´OREAL,PRODUCTO
LOREAL CREMA VITAMINO COLOR 150 ML RENOVACION,,PRODUCTO
LOREAL CREMA VITAMINO COLOR 750 ML RENOVACION,,PRODUCTO
TIGI URBAN ANTI + DOTES 200 ML,TIGI,PRODUCTO
TIGI ANTI RECOVERY 200 ML,,PRODUCTO
ACONDICIONADOR TIGI REENERGIZE URBAN 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI RECOVERY ANTIDOTES 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI RESERRECTION URBAN 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI CURLS COLLECTION 250 ML,TIGI,PRODUCTO
TIGI CURLESQUE LEAVE-IN 215 ML,TIGI,PRODUCTO
TIGI HI DEF CURLS 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI EPIC VOLUME 200 ML,TIGI,PRODUCTO
ACONDICIONBADOR TIGI DUMB BLONDE 200 ML,TIGI,PRODUCTO
TIGI - ACONDICIONADOR TERAPEUTICO PARA PELIRROJAS Y,TIGI,PRODUCTO
L´OREAL - LOREAL SHINE BLONDE TTO. ILUMINADOR 150ML,L´OREAL,PRODUCTO
LOREAL SHINE BLONDE 150 ML,,PRODUCTO
L´OREAL - TRATAMIENTO REFORZADOR 150 ML,L´OREAL,PRODUCTO
L´OREAL - TRATAMIENTO FIJADOR DE COLOR 150ML,L´OREAL,PRODUCTO
L´OREAL - LOREAL CREMA VITAMINO COLOR 750 ML RENOVACION,L´OREAL,PRODUCTO
KERASTASE - TRATAMIENTO DE ALTA NUTRICION 200ML,KERASTASE,PRODUCTO
KERASTASE - TRATAMIENTO DE ALTA NUTRICION PARA CABELLOS,KERASTASE,PRODUCTO
CREMA ABSOLUT REPAIR CELLULAR C/E 750 ML,,PRODUCTO
L´OREAL - TRATAMIENTO REPARADOR CELULAR CABELLOS MUY,L´OREAL,PRODUCTO
KERASTASE - KER RES CIMENT ANTI USURE 200ML,KERASTASE,PRODUCTO
KERASTASE LAIT CRISTALLISTE 1000 ML,,PRODUCTO
KERASTASE - LUMINOSO PERFECTO 200ML,KERASTASE,PRODUCTO
L´OREAL - TRATAMIENTO RESTAURADOR DE QUERATINA PARA CABELLOS,L´OREAL,PRODUCTO
L´OREAL - TRATAMIENTO CORRECTOR RESTAURADOR DE KERATINA 750ML,L´OREAL,PRODUCTO
L´OREAL - LOREAL ACONDICIONADOR LISS UNLIMITED 150ML,L´OREAL,PRODUCTO
KERASTASE - FLUIDO DE NUTRICION 200ML,KERASTASE,PRODUCTO
L´OREAL - TRATAMIENTO RECONSTRUCTOR INSTANTANEO 150ML,L´OREAL,PRODUCTO
L´OREAL - SHAMPOO RECONTRUCTOR INSTANTANEO 750ML,L´OREAL,PRODUCTO
L´OREAL - VITAMINO COLOR 150ML,L´OREAL,PRODUCTO
L´OREAL - VITAMINO COLOR A-OX SH 150ML,L´OREAL,PRODUCTO
KERASTASE - VITAMINO COLOR 750ML,KERASTASE,PRODUCTO
L´OREAL - CREMA BLONDE VITAMINO COLOR 150ML,L´OREAL,PRODUCTO
L´OREAL - LOREAL SHINE CURL 150ML,L´OREAL,PRODUCTO
KERASTASE - FLUIDO NUTRITIVO DE ALTA LIGERESA PARA CABELLOS,KERASTASE,PRODUCTO
L´OREAL - VITAMINO COLOR FRESH FEEL 150ML,L´OREAL,PRODUCTO
KERASTASE - NUTRIFIER ACONDICIONADOR 150ML,KERASTASE,PRODUCTO
NUTRIFIER ACONDICIONADOR 750ML,,PRODUCTO
KERASTASE DICIPLINE FONDANT FLUIDEALISTE CREMA CAPILAR,KERASTASE,PRODUCTO
SE ABSOLUT REPAIR LIPIDIUM ACOND 750ML,,PRODUCTO
SE VITAMINO COLOR A-OX SHAMPOO 750ML,,PRODUCTO
LOREAL CREMA REPAIR CELLULAR 750 ML,,PRODUCTO
L´OREAL - ABSOLUT REPAIR LIPIDIUM 250ML,L´OREAL,PRODUCTO
SILKEY PROFESIONAL - EMULSION MULTIVITAMINAS 250ML,SILKEY PROFESIONAL,PRODUCTO
ALFAPARF MILANO - ILUMINATING ACONDICIONADOR CAPILAR 250ML,ALFAPARF MILANO,PRODUCTO
CADIVEU ACONDICIONADOR BOSSENOVA 250 ML,,PRODUCTO
SALVATORE - ACONDICIONADOR BLOND HAIR,SALVATORE,PRODUCTO
SALVATORE - ACONDICIONADOR CURLY HAIR,SALVATORE,PRODUCTO
SALVATORE - ACONDICIONADOR MOISTURIZER,SALVATORE,PRODUCTO
SALVATORE - ACONDICIONADOR SCALP TREATMENT,SALVATORE,PRODUCTO
SALVATORE - ACONDICIONADOR REESTRUCTURING,SALVATORE,PRODUCTO
ALFAPARF MILANO - ACONDICIONADOR CREMA REVITALIZANTE PH COLOR ROJO,ALFAPARF MILANO,PRODUCTO
ALFAPARF MILANO - BALSAMO PROTECTOR DE COLOR 250ML,ALFAPARF MILANO,PRODUCTO
REVLON - ACONDICIONADOR DESENREDANTE SIN ACLARADO P/,REVLON,PRODUCTO
L´OREAL - EQ. 200ML,L´OREAL,PRODUCTO
AGUA OXIGENADA 10VOL INOVACION NO,,PRODUCTO
AGUA OXIGENADA 20VOL INOVACION NO,,PRODUCTO
AGUA OXIGENADA 30VOL INOVACION NO,,PRODUCTO
L´OREAL - REVELADOR 6 VOL 1000ML,L´OREAL,PRODUCTO
L´OREAL - REVELADOR 9VOL,L´OREAL,PRODUCTO
L´OREAL - REVELADOR 15 VOL 1000ML,L´OREAL,PRODUCTO
L´OREAL - RUBIO,L´OREAL,PRODUCTO
REVLON - CREMA OXIDANTE 20V,REVLON,PRODUCTO
REVLON - AGUA OXIGENADA 30VOL,REVLON,PRODUCTO
REVLON - AGUA OXIGENADA 40VOL,REVLON,PRODUCTO
RP CREME PEROXIDE 20VOL,,PRODUCTO
SILKEY PROFESIONAL - CREMA OXIDANTE 20V,SILKEY PROFESIONAL,PRODUCTO
L´OREAL - AGUA OXIGENADA 30VOL,L´OREAL,PRODUCTO
L´OREAL - AGUA OXIGENADA 40VOL,L´OREAL,PRODUCTO
REVLON - CREME PROXIDE VOL20 900ML,REVLON,PRODUCTO
DIFIABA - FLUIDO HIDRATANTE 12X13ML,DIFIABA,PRODUCTO
KERASTASE - VOLUMEN CONTROL 15 TUBOS DE 20ML + 15 FRASCOS DE 6ML,KERASTASE,PRODUCTO
L´OREAL - AMPOLLA P/ CABELLO SENSIBILIZADO 15X15ML,L´OREAL,PRODUCTO
KERASTASE - RE-SUBSTANCE 30X0.68,KERASTASE,PRODUCTO
L´OREAL - TRATAMIENTO UNIDOSIS P/ CABELLOS COLOREADOS 30X10ML,L´OREAL,PRODUCTO
L´OREAL - TRATAMIENTO UNIDOSIS CON ACLARADO CABELLOS MUY,L´OREAL,PRODUCTO
L´OREAL - TRATAMIENTO PRE-SHAMPOO UNIDOSIS CON ACLARADO,L´OREAL,PRODUCTO
KERASTASE - CONSENTRE OLEO-FUSION NARANJA 15X0.4FL,KERASTASE,PRODUCTO
KERASTASE - BOOSTER P/ DAR VOLUMEN 15X0.4ML,KERASTASE,PRODUCTO
KERASTASE - CONSENTRE VITA-CIMENT-VERDE 15X12ML,KERASTASE,PRODUCTO
KERASTASE - BOOSTER P/ DAR FUERZA 15X0.4ML,KERASTASE,PRODUCTO
KERASTASE - CONSENTRE SUBSTANTIF-LILA 15X12ML,KERASTASE,PRODUCTO
KERASTASE - CONCENTRE PIXELIST-ROSA 15X12ML,KERASTASE,PRODUCTO
KERASTASE - BOOSTER P/ COLOR 15X0.13,KERASTASE,PRODUCTO
L´OREAL - PURIFICANTE DEL CUERO CABELLUDO 15X12ML,L´OREAL,PRODUCTO
