Descripcion,Marca,Grupo
CREMA JABONOSA 100ML EXEL,,PRODUCTO
CON VITAMINA E HIDRATANTE Y ANTIOXIDANTE 300ML NATURAL HONEY,,PRODUCTO
ACEITE CORPORAL DE COCO 300ML NATURAL HONEY,,PRODUCTO
EMULSION D`EYERLY L´OREAL,,PRODUCTO
NUTRICION CAPILAR DAYERLY L´OREAL,,PRODUCTO
ACONDICIONADOR TIGI GI DEFCURLS 200 ML,TIGI,PRODUCTO
LAPIZ LABIAL HUMECTANTE 055,REVLON,PRODUCTO
LOREAL VITAMINO COLOR 150 ML,L´OREAL,PRODUCTO
LOREAL CREMA VITAMINO COLOR 150 ML RENOVACION,,PRODUCTO
LOREAL CREMA VITAMINO COLOR 750 ML RENOVACION,,PRODUCTO
TIGI URBAN ANTI + DOTES 200 ML,TIGI,PRODUCTO
TIGI ANTI RECOVERY 200 ML,,PRODUCTO
ACONDICIONADOR TIGI REENERGIZE URBAN 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI RECOVERY ANTIDOTES 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI RESERRECTION URBAN 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI CURLS COLLECTION 250 ML,TIGI,PRODUCTO
TIGI CURLESQUE LEAVE-IN 215 ML,TIGI,PRODUCTO
TIGI HI DEF CURLS 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TIGI EPIC VOLUME 200 ML,TIGI,PRODUCTO
ACONDICIONBADOR TIGI DUMB BLONDE 200 ML,TIGI,PRODUCTO
ACONDICIONADOR TERAPEUTICO PARA PELIRROJAS Y,TIGI,PRODUCTO
LOREAL SHINE BLONDE TTO. ILUMINADOR 150ML,L´OREAL,PRODUCTO
LOREAL SHINE BLONDE 150 ML,,PRODUCTO
TRATAMIENTO REFORZADOR 150 ML,L´OREAL,PRODUCTO
TRATAMIENTO FIJADOR DE COLOR 150ML,L´OREAL,PRODUCTO
LOREAL CREMA VITAMINO COLOR 750 ML RENOVACION,L´OREAL,PRODUCTO
TRATAMIENTO DE ALTA NUTRICION 200ML,KERASTASE,PRODUCTO
TRATAMIENTO DE ALTA NUTRICION PARA CABELLOS,KERASTASE,PRODUCTO
CREMA ABSOLUT REPAIR CELLULAR C/E 750 ML,,PRODUCTO
TRATAMIENTO REPARADOR CELULAR CABELLOS MUY,L´OREAL,PRODUCTO
KER RES CIMENT ANTI USURE 200ML,KERASTASE,PRODUCTO
KERASTASE LAIT CRISTALLISTE 1000 ML,,PRODUCTO
LUMINOSO PERFECTO 200ML,KERASTASE,PRODUCTO
TRATAMIENTO RESTAURADOR DE QUERATINA PARA CABELLOS,L´OREAL,PRODUCTO
TRATAMIENTO CORRECTOR RESTAURADOR DE KERATINA 750ML,L´OREAL,PRODUCTO
LOREAL ACONDICIONADOR LISS UNLIMITED 150ML,L´OREAL,PRODUCTO
FLUIDO DE NUTRICION 200ML,KERASTASE,PRODUCTO
TRATAMIENTO RECONSTRUCTOR INSTANTANEO 150ML,L´OREAL,PRODUCTO
SHAMPOO RECONTRUCTOR INSTANTANEO 750ML,L´OREAL,PRODUCTO
VITAMINO COLOR 150ML,L´OREAL,PRODUCTO
VITAMINO COLOR A-OX SH 150ML,L´OREAL,PRODUCTO
VITAMINO COLOR 750ML,KERASTASE,PRODUCTO
CREMA BLONDE VITAMINO COLOR 150ML,L´OREAL,PRODUCTO
LOREAL SHINE CURL 150ML,L´OREAL,PRODUCTO
FLUIDO NUTRITIVO DE ALTA LIGERESA PARA CABELLOS,KERASTASE,PRODUCTO
VITAMINO COLOR FRESH FEEL 150ML,L´OREAL,PRODUCTO
NUTRIFIER ACONDICIONADOR 150ML,KERASTASE,PRODUCTO
NUTRIFIER ACONDICIONADOR 750ML,,PRODUCTO
KERASTASE DICIPLINE FONDANT FLUIDEALISTE CREMA CAPILAR,KERASTASE,PRODUCTO
SE ABSOLUT REPAIR LIPIDIUM ACOND 750ML,,PRODUCTO
SE VITAMINO COLOR A-OX SHAMPOO 750ML,,PRODUCTO
LOREAL CREMA REPAIR CELLULAR 750 ML,,PRODUCTO
ABSOLUT REPAIR LIPIDIUM 250ML,L´OREAL,PRODUCTO
EMULSION MULTIVITAMINAS 250ML,SILKEY PROFESIONAL,PRODUCTO
ILUMINATING ACONDICIONADOR CAPILAR 250ML,ALFAPARF MILANO,PRODUCTO
CADIVEU ACONDICIONADOR BOSSENOVA 250 ML,,PRODUCTO
ACONDICIONADOR BLOND HAIR,SALVATORE,PRODUCTO
ACONDICIONADOR CURLY HAIR,SALVATORE,PRODUCTO
ACONDICIONADOR MOISTURIZER,SALVATORE,PRODUCTO
ACONDICIONADOR SCALP TREATMENT,SALVATORE,PRODUCTO
ACONDICIONADOR REESTRUCTURING,SALVATORE,PRODUCTO
ACONDICIONADOR CREMA REVITALIZANTE PH COLOR ROJO,ALFAPARF MILANO,PRODUCTO
BALSAMO PROTECTOR DE COLOR 250ML,ALFAPARF MILANO,PRODUCTO
ACONDICIONADOR DESENREDANTE SIN ACLARADO P/,REVLON,PRODUCTO
EQ. 200ML,L´OREAL,PRODUCTO
AGUA OXIGENADA 10VOL INOVACION NO,,PRODUCTO
AGUA OXIGENADA 20VOL INOVACION NO,,PRODUCTO
AGUA OXIGENADA 30VOL INOVACION NO,,PRODUCTO
REVELADOR 6 VOL 1000ML,L´OREAL,PRODUCTO
REVELADOR 9VOL,L´OREAL,PRODUCTO
REVELADOR 15 VOL 1000ML,L´OREAL,PRODUCTO
RUBIO,L´OREAL,PRODUCTO
CREMA OXIDANTE 20V,REVLON,PRODUCTO
AGUA OXIGENADA 30VOL,REVLON,PRODUCTO
AGUA OXIGENADA 40VOL,REVLON,PRODUCTO
RP CREME PEROXIDE 20VOL,,PRODUCTO
CREMA OXIDANTE 20V,SILKEY PROFESIONAL,PRODUCTO
AGUA OXIGENADA 30VOL,L´OREAL,PRODUCTO
AGUA OXIGENADA 40VOL,L´OREAL,PRODUCTO
CREME PROXIDE VOL20 900ML,REVLON,PRODUCTO
FLUIDO HIDRATANTE 12X13ML,DIFIABA,PRODUCTO
VOLUMEN CONTROL 15 TUBOS DE 20ML + 15 FRASCOS DE 6ML,KERASTASE,PRODUCTO
AMPOLLA P/ CABELLO SENSIBILIZADO 15X15ML,L´OREAL,PRODUCTO
RE-SUBSTANCE 30X0.68,KERASTASE,PRODUCTO
TRATAMIENTO UNIDOSIS P/ CABELLOS COLOREADOS 30X10ML,L´OREAL,PRODUCTO
TRATAMIENTO UNIDOSIS CON ACLARADO CABELLOS MUY,L´OREAL,PRODUCTO
TRATAMIENTO PRE-SHAMPOO UNIDOSIS CON ACLARADO,L´OREAL,PRODUCTO
CONSENTRE OLEO-FUSION NARANJA 15X0.4FL,KERASTASE,PRODUCTO
BOOSTER P/ DAR VOLUMEN 15X0.4ML,KERASTASE,PRODUCTO
CONSENTRE VITA-CIMENT-VERDE 15X12ML,KERASTASE,PRODUCTO
BOOSTER P/ DAR FUERZA 15X0.4ML,KERASTASE,PRODUCTO
CONSENTRE SUBSTANTIF-LILA 15X12ML,KERASTASE,PRODUCTO
CONCENTRE PIXELIST-ROSA 15X12ML,KERASTASE,PRODUCTO
BOOSTER P/ COLOR 15X0.13,KERASTASE,PRODUCTO
PURIFICANTE DEL CUERO CABELLUDO 15X12ML,L´OREAL,PRODUCTO
TRATAMIENTO CONCENTRADO DE FUERZA CAPILAR 30X10ML,L´OREAL,PRODUCTO
DENSIFIQUE AMPOLLA CAPILAR 30X6ML,KERASTASE,PRODUCTO
ACEITE PROTECTOR PARA CABELLOS REVELDES 15X12ML,L´OREAL,PRODUCTO
TRATAMIENTO UNIDOSIS CON ACLARADO CABELLOS CON,L´OREAL,PRODUCTO
TRATAMIENTO PRE-COLORACION 15X15ML,L´OREAL,PRODUCTO
KER NUT AMPOLLA CONCENTRE 10*12ML,KERASTASE,PRODUCTO
AMPOLLA CONCENTRE FUSIO DOSE,KERASTASE,PRODUCTO
BOOSTER BRILLANCE LOCION CAPILAR,KERASTASE,PRODUCTO
REPARADOR CAPILAR 12X15ML AZUL,ALFAPARF MILANO,PRODUCTO
LOCION REVITALIZADORA 12X15ML-ROSA,ALFAPARF MILANO,PRODUCTO
OLEO CAPILAR LENITIVO 12X0.50,ALFAPARF MILANO,PRODUCTO
