nombre,categoria,precio
ABVSOLUT REPAIR LIPIDIUM SERUM 50ML,Coloración,0
AGUA OXIGENADA 10VOL INOVACION NO,Coloración,0
AGUA OXIGENADA 20VOL INOVACION NO,Coloración,0
AGUA OXIGENADA 20VOL L´OREAL,Coloración,0
AGUA OXIGENADA 30VOL INOVACION NO,Coloración,0
AGUA OXIGENADA 30VOL L´OREAL,Coloración,0
AGUA OXIGENADA 30VOL REVLON,Coloración,0
AGUA OXIGENADA 40VOL L´OREAL,Coloración,0
AGUA OXIGENADA 40VOL REVLON,Coloración,0
AZUL 100 REVLON,Coloración,0
BEIGE CENIZA 8.13 L´OREAL,Coloración,0
BEIGE DORADO 8.31 L´OREAL,Coloración,0
BLOND STUDIO MULTI TECHNI CREMA DECOLORANTE,Coloración,0
BLUSH BLOND B14 7.12 L´OREAL,Coloración,0
BLUSH BLOND B14 9.21 L´OREAL,Coloración,0
BORGONA PROFUNDO 2.20 REVLON,Coloración,0
CASTANO 4 INOVACION NO,Coloración,0
CASTANO 4 L´OREAL,Coloración,0
CASTANO 4 L´OREAL,Coloración,0
CASTANO C. CENIZA 5.1 REVLON,Coloración,0
CASTANO CAOBA 4.5 REVLON,Coloración,0
"CASTANO CAOBA CENIZA 4,51 INOVACION NO",Coloración,0
CASTANO CLARO 5 INOVACION NO,Coloración,0
CASTANO CLARO 5 L´OREAL,Coloración,0
CASTANO CLARO 5 L´OREAL,Coloración,0
CASTANO CLARO 5 REVLON,Coloración,0
CASTANO CLARO 5 REVLON,Coloración,0
CASTANO CLARO 5SN REVLON,Coloración,0
CASTANO CLARO BORGONA 5.20 REVLON,Coloración,0
"CASTANO CLARO CAOBA 5,5 REVLON",Coloración,0
"CASTANO CLARO CENIZA IRISADO 5,12 INOVACION NO",Coloración,0
"CASTANO CLARO CENIZA PROFUNDO 5,11 L´OREAL",Coloración,0
CASTANO CLARO DORAD0 5.3 REVLON,Coloración,0
